no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
24,0.8118299954,0.8061146182,0.9749968894,0.8020852514,0.8001805688,0.9909200807,centroid-based
24,0.7940479234,0.7796913975,0.9575105685,0.7737519666,0.752757598,0.9790879287,centroid-based
24,0.8103616057,0.8037051864,0.9680286941,0.8017690675,0.8046426274,0.9889285017,centroid-based
24,0.8216338916,0.7990147613,0.9516053996,0.8060139894,0.7943390489,0.9803123863,centroid-based
24,0.8111748771,0.8006889938,0.9781867566,0.800084041,0.797122522,0.991953885,centroid-based
24,0.7934945246,0.7808768117,0.9631643122,0.7792482355,0.7663391449,0.9862035407,centroid-based
24,0.8705496936,0.7874872166,0.9108540409,0.783272909,0.7745954887,0.9490966047,centroid-based
24,0.8080013969,0.8014511123,0.9656665873,0.8009949613,0.800701744,0.9874208307,centroid-based
24,0.811530209,0.8011898654,0.9747602646,0.7927672714,0.7996635184,0.9920660344,centroid-based
24,0.7966890162,0.7788092785,0.9532348682,0.7753473012,0.7586246278,0.9823581064,centroid-based
24,0.7860010684,0.7819011876,0.9833616403,0.7709661896,0.7688032458,0.9938538622,centroid-based
26,0.809554639,0.7704372749,0.9623789796,0.796179342,0.7473653782,0.9742269125,centroid-based
26,0.8771025355,0.8025241397,0.9175139677,0.804183487,0.7920165287,0.9599479835,centroid-based
26,0.7892051043,0.7840438275,0.9893272152,0.7764431358,0.772329915,0.9950060234,centroid-based
26,0.8162264179,0.7897183058,0.9638863164,0.8063775493,0.7816143137,0.9804596905,centroid-based
26,0.788626192,0.7750902188,0.9653694145,0.7581098917,0.7462295371,0.9825673213,centroid-based
26,0.8909009268,0.8078995753,0.9046206499,0.815591372,0.8006814272,0.9427210971,centroid-based
26,0.8142042842,0.8067577908,0.9791922661,0.8039261375,0.8017505632,0.9910789021,centroid-based
26,0.7931745655,0.7705186938,0.9612279076,0.7830880772,0.7396857439,0.9753805641,centroid-based
26,0.8033295748,0.7851085632,0.9672636349,0.7721722162,0.7609112197,0.9858118508,centroid-based
26,0.8016763985,0.7811633689,0.9745926232,0.7843290071,0.7606504336,0.9842815553,centroid-based
26,0.7854343821,0.7804112526,0.9703489751,0.7544670922,0.7508813084,0.9876565539,centroid-based
26,0.8105144566,0.7949839002,0.9719404785,0.7880675779,0.7770804053,0.9877334125,centroid-based
26,0.79046964,0.7718268257,0.9612728399,0.7847427258,0.7571930873,0.9749954523,centroid-based
26,0.784948796,0.7799259565,0.9602432953,0.7698745313,0.7540733664,0.9807584033,centroid-based
26,0.8034407449,0.7867560812,0.9771304141,0.7933376381,0.7785708843,0.9873524901,centroid-based
28,0.8053760783,0.7969178439,0.9561962852,0.7896936771,0.7757523063,0.9744158242,centroid-based
28,0.8108260113,0.79698534,0.9688614214,0.7905005768,0.7835609413,0.9881346367,centroid-based
28,0.8103876284,0.7941208458,0.9731662593,0.7934238904,0.7732455069,0.9845609479,centroid-based
28,0.8097712554,0.804777276,0.975724199,0.7917626849,0.787136733,0.9897412343,centroid-based
28,0.7948025906,0.7783433087,0.9655596854,0.7742341122,0.7487978067,0.9828966157,centroid-based
28,0.803744469,0.7978381337,0.9786401939,0.783861805,0.7766331619,0.9903255342,centroid-based
28,0.8900814814,0.7972825825,0.8982487301,0.8330971333,0.7833231433,0.9165451316,centroid-based
28,0.8050537958,0.7911946193,0.9599313648,0.7862381792,0.7703141946,0.983099626,centroid-based
28,0.810841974,0.7886796074,0.9716367751,0.7884150665,0.753316681,0.9802290851,centroid-based
28,0.7961575761,0.7898021714,0.9823007935,0.7815737037,0.7700560806,0.9899619094,centroid-based
28,0.7996152795,0.787620916,0.9733953363,0.7840857792,0.7647644639,0.9864087094,centroid-based
28,0.8093361847,0.8033524184,0.976650362,0.8029034826,0.7913233537,0.9878527964,centroid-based
28,0.805023922,0.7995883831,0.9803169468,0.7898721336,0.7864644675,0.9917766212,centroid-based
28,0.7943218934,0.7662356443,0.9735498803,0.7791433901,0.7268958919,0.9751922956,centroid-based
28,0.788984632,0.7609740034,0.9602086381,0.770494379,0.7292307403,0.9754085601,centroid-based
30,0.8051208082,0.7848079056,0.9739700403,0.7846668152,0.7559638727,0.9810852475,centroid-based
30,0.8765730109,0.7987942313,0.911241817,0.8027781254,0.7774406548,0.9377446483,centroid-based
30,0.8114063667,0.8012633318,0.9739024639,0.7930737114,0.7833988958,0.9882842193,centroid-based
30,0.818418481,0.7943877685,0.9730706876,0.8066947933,0.7682629652,0.9808481563,centroid-based
30,0.8138393212,0.7966877448,0.9556579091,0.8032496039,0.7864325808,0.9768338347,centroid-based
30,0.7993177795,0.7860983003,0.9793440935,0.7901354936,0.7641564717,0.982714792,centroid-based
