dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_100_dim_1200,8,0.7485410506,0.7239818421,0.9929945023,0.4955817777,0.5099474527,0.9948138745,random with centroids
sample_100_dim_1200,8,0.9077822647,0.8970701757,0.9970954475,0.6712385422,0.7024827497,0.9938073336,random with centroids
sample_100_dim_1200,8,0.9095306514,0.8564434433,0.9753930036,0.4392909005,0.4464903662,0.9913129163,random with centroids
sample_100_dim_1200,8,0.89084433,0.8666285407,0.9903567004,0.8412207753,0.8561382674,0.9925019092,random with centroids
sample_100_dim_1200,8,0.8300678986,0.8091736438,0.9947438989,0.3866487143,0.3933051356,0.9981697463,random with centroids
sample_100_dim_1200,8,0.8548184401,0.8249651049,0.9728340488,0.3970808219,0.4826512026,0.9278498094,random with centroids
sample_100_dim_1200,8,0.8337840308,0.8280304435,0.988950243,0.5283060492,0.4973246079,0.9856679151,random with centroids
sample_100_dim_1200,10,0.8335381067,0.7832047678,0.9825888534,0.507186153,0.4432011754,0.9783981386,random with centroids
sample_100_dim_1200,10,0.7601141617,0.7495707411,0.9861619571,0.3736460166,0.4198413433,0.9771385757,random with centroids
sample_100_dim_1200,10,0.867883059,0.8412291244,0.9836507774,0.6945237115,0.7776813763,0.9622624781,random with centroids
sample_100_dim_1200,10,0.8874995627,0.9255676047,0.9379903485,0.7151968556,0.8115542432,0.9523982155,random with centroids
sample_100_dim_1200,10,0.7617842304,0.7314316386,0.9776675332,0.7399504765,0.6943168396,0.9739795543,random with centroids
sample_100_dim_1200,10,0.9651556215,0.9570149739,0.9967808177,0.7101018578,0.7350868074,0.9917456777,random with centroids
sample_100_dim_1200,10,0.8026660791,0.7269610444,0.9482233564,0.6326486668,0.6028603017,0.8874343707,random with centroids
sample_100_dim_1200,10,0.8647639664,0.8124094331,0.9685841419,0.2759105377,0.2380968143,0.9185433987,random with centroids
sample_100_dim_1200,10,0.9567328546,0.9408497473,0.9954215981,0.5192984931,0.5054806602,0.9938385429,random with centroids
sample_100_dim_1200,10,0.8875559441,0.8777585373,0.9971153181,0.6271106118,0.6309535429,0.9842923038,random with centroids
sample_100_dim_1200,10,0.9765121082,0.9396265865,0.9813435618,0.73206082,0.6306487205,0.9378001301,random with centroids
sample_100_dim_1200,10,0.7833539946,0.7544479519,0.9905864589,0.3200618916,0.3315293138,0.9877602798,random with centroids
sample_100_dim_1200,10,0.9923647378,0.9891866439,0.9986189464,0.4985738335,0.4817579244,0.9819243823,random with centroids
sample_100_dim_1200,10,0.8255259605,0.8213713095,0.9978330025,0.2478894136,0.2548108615,0.9906207404,random with centroids
sample_100_dim_1200,10,0.8657906676,0.8662752603,0.9955358226,0.3936141728,0.4245411611,0.9457417096,random with centroids
sample_100_dim_1200,12,0.9810097768,0.9791037158,0.9997200307,0.7722265311,0.7633303713,0.9962611865,random with centroids
sample_100_dim_1200,12,0.9726613544,0.9621789864,0.9968192075,0.4408972516,0.4505453671,0.9796331263,random with centroids
sample_100_dim_1200,12,0.8289674952,0.8335951316,0.9940214534,0.5005827568,0.4436792986,0.97331562,random with centroids
sample_100_dim_1200,12,0.7087531356,0.7072583598,0.9946741699,0.3705374348,0.3734590278,0.9951504956,random with centroids
sample_100_dim_1200,12,0.7719280629,0.7362850663,0.9726687759,0.5065512079,0.3961146855,0.9715098015,random with centroids
sample_100_dim_1200,12,0.8607628055,0.8567074627,0.9974201047,0.3960306087,0.3949138859,0.998941958,random with centroids
sample_100_dim_1200,12,0.8450273847,0.8178387945,0.9836667521,0.7316481332,0.7535687363,0.9801407894,random with centroids
sample_100_dim_1200,12,0.8420197617,0.8232564848,0.9808805772,0.7253838845,0.8125384285,0.9691035219,random with centroids
sample_100_dim_1200,12,0.858437893,0.8492133664,0.9928422227,0.5336079904,0.5083544224,0.9847060481,random with centroids
sample_100_dim_1200,12,0.9191052138,0.8906829941,0.9870086488,0.7681350672,0.759473867,0.9942778474,random with centroids
sample_100_dim_1200,12,0.8561098277,0.8550701209,0.9908981757,0.8421621276,0.8064412784,0.9728466243,random with centroids
sample_100_dim_1200,12,0.695884342,0.7170420959,0.9723348494,0.3414796483,0.3129189016,0.9845705382,random with centroids
