no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
24,0.7339032143,0.7494190154,0.9644806654,0.7101821506,0.7251071557,0.9773117133,centroid-based
24,0.7308773384,0.7482853196,0.9704066542,0.7011035958,0.7215857242,0.9705539915,centroid-based
24,0.7343911206,0.7506816349,0.9700601829,0.7081133079,0.7219182398,0.9724501871,centroid-based
24,0.7348831756,0.7477553762,0.9701672833,0.7132847702,0.7238095831,0.9642164708,centroid-based
24,0.7318159594,0.7458487202,0.9606016089,0.6902325598,0.713024017,0.9669250355,centroid-based
26,0.7263046585,0.746296254,0.9736384514,0.7039121034,0.7227274138,0.9766925828,centroid-based
26,0.7286813195,0.7474520035,0.9685719164,0.7061360949,0.7253225882,0.9699106123,centroid-based
26,0.7363126434,0.7514195713,0.9671534469,0.7094022292,0.7232796821,0.9718093147,centroid-based
26,0.7173420185,0.7389687675,0.9664362437,0.6865023233,0.7124502875,0.971761659,centroid-based
26,0.7407049661,0.7592296124,0.9670227912,0.7179435892,0.7335746131,0.9776351974,centroid-based
26,0.7378161377,0.7545839975,0.9644788041,0.7106431898,0.7322591702,0.9682374268,centroid-based
26,0.7358888387,0.7451938198,0.9773501109,0.7197496554,0.7292887811,0.9708338945,centroid-based
26,0.7297629608,0.7462326804,0.9724160944,0.7076325824,0.7190493627,0.9749330392,centroid-based
26,0.7347111589,0.7527522117,0.9616202004,0.7075644975,0.726252167,0.9696632052,centroid-based
26,0.742595154,0.7628423616,0.9701839249,0.7247598915,0.7407540737,0.9789038615,centroid-based
26,0.7399217809,0.7548104536,0.9720200329,0.713602938,0.7278510394,0.9703609767,centroid-based
26,0.7429193936,0.759993605,0.9670514396,0.7217237393,0.7355339916,0.9808208604,centroid-based
26,0.732921407,0.7534212547,0.9721815196,0.7033074815,0.727496053,0.9805206589,centroid-based
26,0.7347126304,0.7512299453,0.9672387082,0.7106447894,0.7272813466,0.9728422698,centroid-based
26,0.7339280045,0.7528461137,0.9675135889,0.709189988,0.7256144248,0.977340946,centroid-based
28,0.7449195613,0.7623687151,0.9737092496,0.7197300327,0.7415116169,0.9708383721,centroid-based
28,0.7410734379,0.76054013,0.9720308933,0.7174489684,0.7389358831,0.9739041218,centroid-based
28,0.7363865135,0.7550205429,0.9678332027,0.7140285845,0.731517401,0.9702033015,centroid-based
28,0.7327169722,0.7534034641,0.9733277466,0.7044948349,0.7286685216,0.9754230241,centroid-based
28,0.7320676695,0.7552017008,0.9637762479,0.707470759,0.7297193531,0.9765596875,centroid-based
28,0.7276614949,0.744392257,0.9707307822,0.7008260088,0.7192607758,0.9713439521,centroid-based
28,0.7439252636,0.7594925882,0.9740347283,0.7174239892,0.7345567884,0.9694948462,centroid-based
28,0.7258983638,0.7476949386,0.9717947367,0.7001417865,0.72224795,0.9767131458,centroid-based
28,0.7387119359,0.7611469004,0.9628495042,0.7122767907,0.730924549,0.9805076811,centroid-based
28,0.7290073162,0.7465645821,0.9726069916,0.7077533315,0.7237702792,0.9736045496,centroid-based
28,0.7292641312,0.745718283,0.9599032208,0.7080646933,0.7260984979,0.9715346741,centroid-based
28,0.7363368651,0.7523842845,0.9682080486,0.7150214463,0.7333419154,0.9649292578,centroid-based
28,0.7382729159,0.756526993,0.9705646458,0.7087366095,0.7313446797,0.9683594486,centroid-based
28,0.7354287765,0.7546754065,0.9685439968,0.7037710102,0.7284238747,0.9739325031,centroid-based
28,0.7323288854,0.7494073491,0.9731754908,0.7110741081,0.7319855131,0.9732436296,centroid-based
30,0.7423871362,0.7633518051,0.9728188128,0.717582597,0.7396846883,0.9767811272,centroid-based
30,0.7310673596,0.749135612,0.9691119052,0.6995674816,0.7216233188,0.9788732544,centroid-based
30,0.7392612777,0.7616571949,0.9700090087,0.7114867393,0.7370178137,0.9759335717,centroid-based
30,0.7354293988,0.7554034708,0.9635431674,0.7087159073,0.7303242205,0.9714564561,centroid-based
30,0.7336862275,0.7554526651,0.9682392878,0.7067355298,0.7316105528,0.9736955536,centroid-based
30,0.7444760659,0.7572871381,0.9675670666,0.7234435961,0.739600726,0.9645189403,centroid-based
30,0.7301164004,0.7465370224,0.9691771679,0.7077970675,0.7212812885,0.9740162228,centroid-based
30,0.7391489165,0.7545029629,0.9753097299,0.7083885615,0.726894698,0.9783374573,centroid-based
30,0.7369370187,0.7545955144,0.9650492692,0.7164526169,0.7337381188,0.9753425635,centroid-based
30,0.7378862957,0.7512835317,0.9637521696,0.7137062422,0.726847409,0.9691694246,centroid-based
30,0.725249295,0.7446907243,0.9743048878,0.7023234551,0.7255232926,0.9751678116,centroid-based
30,0.7434056883,0.7608986415,0.968766401,0.7169525001,0.7331559392,0.9732384434,centroid-based
30,0.7437277949,0.7658490754,0.965486373,0.716822033,0.7387429509,0.9763055945,centroid-based
30,0.7379659802,0.7553288933,0.9697544898,0.7035285891,0.7315700804,0.9647888992,centroid-based
30,0.7377676862,0.7574934679,0.9677194734,0.7103394146,0.730882302,0.9732890294,centroid-based
32,0.7526954885,0.7713306745,0.9678749362,0.7268623756,0.7455137328,0.9759172258,centroid-based
32,0.7336096786,0.7527481085,0.9699409188,0.7099014848,0.7290032433,0.9768423286,centroid-based
32,0.7433365202,0.7598198186,0.9694078775,0.7268405661,0.7418429442,0.9712305943,centroid-based
32,0.7317066413,0.7521145949,0.9679488062,0.70617595,0.7297038755,0.9756669292,centroid-based
32,0.7378730259,0.7577543665,0.9646572207,0.7114515024,0.7300580956,0.9675283169,centroid-based
