no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM
26,0.7961440735974299,0.7703709458392144,0.9727923909196995,0.7424763665140497,0.7426839283360087,0.9997293633153964
26,0.7830881266470102,0.7537928214993872,0.9690373473862469,0.7266369464220357,0.7266864869084217,0.9993397470183607
26,0.8014445105505924,0.7744536970115696,0.9707592383127066,0.7592616117398098,0.7587629223458942,0.9961343892038289
26,0.6956602519313662,0.6607183345051041,0.9599752465901651,0.6534883440101946,0.6535241344377728,0.9989276175222348
26,0.7924935648339749,0.7662584853250651,0.973211518017858,0.7475733137757885,0.7470954788509075,0.9998872374387555
26,0.7563834726225654,0.7281223932349004,0.9696908689318203,0.7091518957277887,0.7090115966982399,0.9999507202396838
26,0.7917959113128781,0.7614335687706497,0.96739205596226,0.7454502584170504,0.7415257394086101,0.9928821775713997
26,0.7552791792921137,0.7230731206877677,0.9629821401607629,0.695150710417191,0.6922194103979943,0.9935420070018105
26,0.7625861645553136,0.7344456202825771,0.9704631609241727,0.7230485261276087,0.722652885208646,0.9998341327662319
26,0.7952869214523469,0.7650543588831857,0.9674786736710999,0.7377753183634914,0.7366475904096803,0.9962333926194757
26,0.7892473615220289,0.76076704282866,0.9696856427965516,0.7232083995821799,0.7237830329081639,0.999418211065922
26,0.75147294206967,0.7220423360899264,0.9675375319916618,0.7062660987440578,0.7066707858658274,0.9986379350054417
28,0.7608983052441576,0.7311905474939493,0.9673103636947596,0.7010227812001198,0.7010806840047126,0.9997759619169909
28,0.7996246543505933,0.7726728740619477,0.9717143855473892,0.7424078311816953,0.7424063350638409,0.9992732147798039
28,0.784235664362483,0.7555966441685579,0.9706835089513544,0.7355421008138352,0.7348023597185497,0.9984120113912888
28,0.7116173291792918,0.677630340605759,0.9604194141679229,0.6558459221140217,0.6561315572292298,0.9996855184909619
28,0.7562390567243436,0.7253940482266367,0.9660994728601181,0.7012949593738247,0.7006663536803066,0.997362608834581
28,0.7595170172304739,0.7293229689856453,0.9661767634556224,0.6953210332838102,0.6945806106694395,0.9978032072771191
28,0.7752058082331247,0.7441033553074806,0.9646872392673734,0.7287142735456462,0.7224630702961926,0.9915359033883536
28,0.7504252349477264,0.7174054884121933,0.9638362551537139,0.6956133957763808,0.6947251044878944,0.996960701485863
28,0.8136472839110103,0.7865221865842577,0.9707907567542717,0.7619402202133534,0.7594256617688688,0.9941352618112663
28,0.7956324071337743,0.7673393429891329,0.9701066212878966,0.7391196692478221,0.7388474315994384,0.9983417388093121
28,0.7594867165219477,0.7280020681321384,0.9644309676628859,0.7103480912241438,0.7074737116564944,0.9917965781049909
28,0.8110350752373836,0.7850412312191319,0.9727003337400003,0.7486928637522158,0.7490649972254746,0.999686124153221
28,0.7833545590219986,0.7499129819752688,0.9643105604606271,0.7313321491068184,0.7246234490972995,0.9913017365192646
28,0.76795476155586,0.739759971427791,0.9681230273221915,0.7176210719233188,0.7173074887195158,0.9978367990359972
28,0.7745600176756495,0.7461484545241246,0.9691351019428176,0.7307899888729317,0.7308873196745261,0.9981801550371033
30,0.7689179687798937,0.736833981430826,0.9653062328215911,0.7145160879494323,0.713846438825996,0.997544009773318
30,0.813037750276249,0.7876021507227721,0.973479749478,0.7558830966920259,0.7555867518906014,0.9983677391318624
30,0.812751483436783,0.7866812487597578,0.972350191219225,0.7650027977898116,0.7635607369224268,0.9963391868886742
30,0.8072213898903721,0.7808087588585056,0.9726252460238684,0.7576078255145662,0.7567761615300084,0.999593004034257
30,0.8057810381837454,0.7781260197726914,0.9704653079536718,0.7465928970121377,0.7455048857944456,0.9964600552979029
30,0.8287233326147238,0.8042543990392691,0.9739706148224963,0.7822329721546126,0.7827382438077709,0.9986624832457396
30,0.782342805732445,0.7559625145740692,0.9713331414870597,0.7253821416287232,0.7254942311828592,0.998297809863005
30,0.7731646718145387,0.7434335746087372,0.9669363937128935,0.697371009092113,0.6973752077015826,0.9985477603273577
30,0.7494128561126974,0.7217404740744859,0.96969409297128,0.7091132752692426,0.7092405444819034,0.9993558487296694
30,0.7841998723880261,0.7555751981786373,0.9696240550521231,0.7216666665755536,0.7219167276944377,0.9999039179706946
30,0.781094998379219,0.7545494342608242,0.9715727212752915,0.732949175194504,0.7334487629248845,0.9993110317897611
30,0.7512138960545914,0.7230697436632116,0.9687694405621885,0.7048019463793521,0.70492716991611,0.9995139580758082
30,0.7556864374329899,0.7264528631281181,0.968100314537497,0.7094910571558437,0.709963596109007,0.9990886737823271
30,0.7797446858594086,0.7499603654382748,0.9668890168384605,0.7151719523552611,0.7148875392932348,0.9962849973449914
30,0.7653885266762227,0.7341719172277847,0.9631076146305118,0.7084799363465072,0.7050765402392497,0.9927139980646144
32,0.7738951316992163,0.7471458694352944,0.9711209534060918,0.7388479295785336,0.7389109603982404,0.999461098027333
32,0.8031445098169576,0.7771227196150099,0.9723281381961792,0.7427078867430635,0.7429637013340967,0.9996499910676991
32,0.7836410245499771,0.7536456306194749,0.9665791445534689,0.720892989161109,0.7194840802916906,0.9955423536221494
32,0.7783909955086264,0.7476301702863515,0.9665732686648474,0.7314478215548403,0.7302021160329254,0.9963473993063373
32,0.7623065792211317,0.7296354285420452,0.961737500949483,0.7059169250113471,0.7013268774610845,0.9923139387304654
32,0.7851447124725928,0.757627881667214,0.9712273140595639,0.7401044785903692,0.7386572721318984,0.9994164239396816
32,0.7840664660318174,0.758613747382663,0.9727225466711782,0.7346451139452248,0.734740201187536,0.9985091498291494
32,0.8084320286701163,0.785550314964479,0.9762300069814587,0.7633394566532383,0.763161465328392,0.9989368118780679
32,0.7700633511424136,0.7410938475012484,0.9676505582155723,0.7198577004964527,0.7181872610849537,0.9960454229767958
32,0.7766719367181004,0.7503898234181885,0.9715668180183866,0.7285918958175144,0.7284936173582857,0.998346434237685
32,0.734793141600012,0.7021442143059199,0.9613485105476588,0.6715328213739828,0.6698953549626532,0.9945117092298419
32,0.7736111705201945,0.7456244034644044,0.9703333968463158,0.724358726878752,0.7241631940568489,0.9997554711800686
32,0.782333904485752,0.7546444331131376,0.9705238169277123,0.7249181586567968,0.7247745038062315,0.9987909403509965
32,0.7794741290836709,0.7533610461321234,0.9718818804654994,0.7160760118541953,0.7165245336792179,0.9994166252775001
32,0.8335930868059402,0.8086768488201086,0.9749218185108472,0.7882741884804958,0.7883773309583711,0.9993438876975351
34,0.8131655495527115,0.7880135505868657,0.9741461576068293,0.754853551174548,0.7546271893370505,0.9985907524428541
34,0.7796275321144,0.7478731874838347,0.9651472932787953,0.7349091761292169,0.7299599336463887,0.99097516070785
34,0.7786863997046912,0.7485176933789235,0.9680247134983888,0.727322751071091,0.7272063035584022,0.9987926798213018
34,0.763208933827474,0.7313222499993155,0.9645211832615387,0.7141516771258833,0.7125171324413877,0.9949483744064906
34,0.7833388221269506,0.75519550601628,0.9697447703120851,0.7200642224655764,0.720383747859202,0.9990241424089036
34,0.7565307609827042,0.7248198950357392,0.9640398786314918,0.7141587019718523,0.711594893212015,0.9932575709079374
34,0.7281491312113971,0.6963169010568965,0.9644388110132582,0.6868626466223458,0.6864451032990503,0.9998589872916015
34,0.7190951963154819,0.6865527545071606,0.9630818486616743,0.6637803131505725,0.6641928874185842,0.9992338468963072
34,0.7925720949031105,0.7669982514010808,0.9733254278313903,0.736045730929534,0.73589462003498,0.9999868912808247
34,0.7890030374885799,0.7610181669415614,0.9695612461953085,0.7248443529627722,0.724778492961463,0.9991881984602514
34,0.7552679788946152,0.7271644467810866,0.9683030629925633,0.6987373617667618,0.698145349754903,0.9966168729836846
34,0.808393206301074,0.7832827086813443,0.9740875654157888,0.7548726232353797,0.7547122836703465,0.998183396014583
