FileName,Content
FEDM_PEDM_using_N_centroids_11points_iter4.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7263920465057639
Pearson correlation between true and federated global matrices: 0.7452577143427689
Pearson correlation between federated and predicted global matrices: 0.9711431521719465
Spearman correlation between true and predicted global matrices: 0.6898997304550566
Spearman correlation between true and federated global matrices: 0.7139410717536893
Spearman correlation between federated and predicted global matrices: 0.9713677158183485"
FEDM_PEDM_using_N_centroids_11points_iter5.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7196655267889394
Pearson correlation between true and federated global matrices: 0.7395452645536159
Pearson correlation between federated and predicted global matrices: 0.9633965473059384
Spearman correlation between true and predicted global matrices: 0.6976999969656597
Spearman correlation between true and federated global matrices: 0.7176361983948182
Spearman correlation between federated and predicted global matrices: 0.9748204251403687"
FEDM_PEDM_using_N_centroids_11points_iter6.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7447066106290169
Pearson correlation between true and federated global matrices: 0.7619157658610616
Pearson correlation between federated and predicted global matrices: 0.9722174288236693
Spearman correlation between true and predicted global matrices: 0.7128003558723882
Spearman correlation between true and federated global matrices: 0.7342151547917962
Spearman correlation between federated and predicted global matrices: 0.969374699273102"
FEDM_PEDM_using_N_centroids_11points_iter7.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7339180797395198
Pearson correlation between true and federated global matrices: 0.7522347219074115
Pearson correlation between federated and predicted global matrices: 0.9676495942690939
Spearman correlation between true and predicted global matrices: 0.7067747454340843
Spearman correlation between true and federated global matrices: 0.723962747686483
Spearman correlation between federated and predicted global matrices: 0.9711880241038524"
FEDM_PEDM_using_N_centroids_11points_iter8.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7351512494347496
Pearson correlation between true and federated global matrices: 0.7564995271601085
Pearson correlation between federated and predicted global matrices: 0.9635886659405649
Spearman correlation between true and predicted global matrices: 0.7062045049476291
Spearman correlation between true and federated global matrices: 0.7282608747783138
Spearman correlation between federated and predicted global matrices: 0.9691069271792597"
FEDM_PEDM_using_N_centroids_11points_iter9.txt,"Shape of Generated Spikes (22, 48708)
Pearson correlation between true and predicted global matrices: 0.7284153049372065
Pearson correlation between true and federated global matrices: 0.746527585989687
Pearson correlation between federated and predicted global matrices: 0.9621554585628737
Spearman correlation between true and predicted global matrices: 0.7047377366845181
Spearman correlation between true and federated global matrices: 0.7248609615417575
Spearman correlation between federated and predicted global matrices: 0.9682259170770275"
FEDM_PEDM_using_N_centroids_12points_iter1.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7338960652458074
Pearson correlation between true and federated global matrices: 0.751786295633792
Pearson correlation between federated and predicted global matrices: 0.9652699626744637
Spearman correlation between true and predicted global matrices: 0.7086771950850663
Spearman correlation between true and federated global matrices: 0.7239846140678489
Spearman correlation between federated and predicted global matrices: 0.9691314297974776"
FEDM_PEDM_using_N_centroids_12points_iter10.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7182624340507567
Pearson correlation between true and federated global matrices: 0.7380326645283293
Pearson correlation between federated and predicted global matrices: 0.9733933084601858
Spearman correlation between true and predicted global matrices: 0.6903755205852209
Spearman correlation between true and federated global matrices: 0.7153291467387614
Spearman correlation between federated and predicted global matrices: 0.9684068313851968"
FEDM_PEDM_using_N_centroids_12points_iter11.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7385394897989778
Pearson correlation between true and federated global matrices: 0.7539919196454995
Pearson correlation between federated and predicted global matrices: 0.9650736732597073
Spearman correlation between true and predicted global matrices: 0.7227973727438192
Spearman correlation between true and federated global matrices: 0.7307092675006276
Spearman correlation between federated and predicted global matrices: 0.9697105781162695"
FEDM_PEDM_using_N_centroids_12points_iter12.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7456146476385732
Pearson correlation between true and federated global matrices: 0.7621594881156984
Pearson correlation between federated and predicted global matrices: 0.9631575720160819
Spearman correlation between true and predicted global matrices: 0.7219354458272118
Spearman correlation between true and federated global matrices: 0.7383953301447351
Spearman correlation between federated and predicted global matrices: 0.9763083113437221"
